id,organization,fellowship,url,area,type,funded,duration_months,opens,deadline,next_cohort,flag,description,terms,contact,notes,added,source
belfer-center-harva-international-security-program-010,"Belfer Center, Harvard Kennedy School",International Security Program (ISP) Predoctoral Fellowship,,AI Policy,Dissertation Fellowship,Yes,12,Oct 2,Dec 2,AY 2027-28,,"One-year residential Harvard fellowship for doctoral candidates pursuing policy-relevant security research, including technology and AI-security topics.",Doctoral program; passed general exams; significant dissertation progress,,"Predoc stipend ~$46K (postdoc ~$56K), one academic year in residence at Harvard; tech/AI-security research welcome. Opens Oct 1, closes Dec 1; non-deferrable, full-time residence required. https://www.belfercenter.org/fellowship/international-security-program-fellowship",2026-06-03,seed
international-societ-phd-seminar-next-2028-cycle-011,International Society for Third-Sector Research (ISTR),PhD Seminar (next 2028 cycle),https://www.istr.org/page/PhDSeminar,Nonprofit Governance,Seminars & Conferences,Yes,,Feb 1,Oct 1,Unknown,,Biennial seminar convening doctoral students in third-sector and nonprofit research internationally.,Biennial; international option,secretariat@istr.org,Biennial; international option,2026-06-03,seed
internet-society-fou-research-grant-program-012,Internet Society Foundation,Research Grant Program,,AI Policy,Research Fellowships,Yes,12,Apr 7,May 22,Annual (Apr-May),,"Grants funding applied, openly-published research on Internet governance, access, trust, and the societal impacts of emerging technologies including AI.",Individuals & institutions worldwide; applied/open research,,$200K-$500K per project; open globally to individuals and institutions; applied + openly-published research informing policy. 2026 window closed (Apr 7-May 22); watch for 2027 cycle ~April. Submit via Fluxx (register 24h early). https://www.isocfoundation.org/grant-programme/research-grant-programme/,2026-06-03,seed
berkman-klein-center-berkman-klein-affiliate-fellow-013,Berkman Klein Center for Internet & Society,Berkman Klein Affiliate Fellowship,https://cyber.harvard.edu/page/open-call-fellowship-applications-2026-and-2026-2027,AI Policy,Research Fellowships,Yes,12,Sep 1,Dec 5,Sep 1,,"Year-long affiliate appointment for scholars and practitioners researching internet, technology, and society.",Open to scholars and practitioners,info@cyber.harvard.edu,"Year-long affiliate appointment; open to scholars, practitioners, policy professionals; multiple cohorts",2026-06-03,seed
rand-corporation-graduate-student-summer-associ-014,RAND Corporation,Graduate Student Summer Associate Program,,Public Policy,Research Fellowships,Yes,,Oct 15,Dec 1,Unknown,,Summer associate program giving graduate students hands-on RAND public-policy research experience.,Graduate students; US-based,,,2026-06-03,seed
american-bar-foundat-doctoral-fellowship-in-law-and-015,American Bar Foundation (ABF),Doctoral Fellowship in Law and Social Science,https://www.americanbarfoundation.org/program/the-abf-uchicago-doctoral-fellowship-program/,Nonprofit Governance,Research Fellowships,Yes,12,Sep 1,Nov 16,Sep 1,Ineligible,Year-long residential fellowship funding sociolegal research at the intersection of law and social science.,Doctoral candidates; law/social science,fellowships@abfn.org,"$30,000 + benefits. Year-long sociolegal research fellowship; has supported AI/tech policy work; strong methodological credential. Uchicago Only",2026-06-03,seed
american-association-science-technology-policy-fe-016,American Association for the Advancement of Science (AAAS),Science & Technology Policy Fellowship,https://www.aaas.org/programs/science-technology-policy-fellowships,AI Policy,Professional Fellowships,Yes,12,Sep 1,Nov 1,Sep 1,,Places PhD-level scientists in year-long federal or Congressional offices to inform US science and technology policy.,PhD required; post-defense stage,fellowships@aaas.org,Flagship US science-policy fellowship; PhD required; 1-year federal/Congressional placement; post-defense target,2026-06-03,seed
tech-policy-press-tech-policy-press-fellowship-017,Tech Policy Press,Tech Policy Press Fellowship,,AI Policy,Research Fellowships,Yes,12,Verify,Oct 15,,,Fellowship supporting writers and researchers reporting on technology policy and its societal impact.,Researchers/policy professionals; part-time; remote; $10K stipend; 12 months,fellows@techpolicy.press,Independent tech-and-democracy reporting/analysis; values community-centered work; cohort opens ~fall; verify 2027 cycle. Source: techpolicy.press,2026-06-03,seed
national-science-fou-graduate-research-fellowship-018,National Science Foundation (NSF),Graduate Research Fellowship (GRFP),,Data Analysis,Dissertation Fellowship,Yes,36,Verify,Sep 15,,Verify Eligibility,Award funding graduate students pursuing research-based degrees in science and engineering fields.,US citizen/PR; early-PhD stage; research-based STEM incl. SBE/education; $37K/yr x3 + tuition,,Quantitative/data-methods framing fits; stage-limited (typically not >1 yr into PhD) � verify year-in-program eligibility. Source: NSF GRFP 25-547,2026-06-03,seed
horizon-institute-fo-horizon-fellowship-for-emergin-019,Horizon Institute for Public Service,Horizon Fellowship for Emerging Technology Policy,https://horizonpublicservice.org/programs/become-a-fellow/,AI Policy,Research Fellowships,Yes,24,Unknown,Sep 2,Unknown,,Two-year DC placement developing emerging leaders in technology and public policy.,2-year DC placement,info@horizonpublicservice.org,2-year DC placement; $75K junior / $113K full fellow. Look to apply for 2027 cycle,2026-06-03,seed
william-t-grant-fou-william-t-grant-scholars-prog-020,William T. Grant Foundation,William T. Grant Scholars Program,https://wtgrantfoundation.org/funding/william-t-grant-scholars-program,Public Policy,Research Fellowships,Yes,,Jul 1,Jul 1,,,Five-year award funding early-career faculty researchers studying youth-focused social policy.,Faculty PI required; post-defense target,info@wtgrantfdn.org,Faculty PI required; track as post-defense target,2026-06-03,seed
social-science-resea-just-tech-fellowship-021,Social Science Research Council (SSRC),Just Tech Fellowship,https://www.ssrc.org/programs/just-tech/just-tech-fellowship/,Data Analysis,Professional Fellowships,Yes,,Unknown,Jun 28,Rolling,,Fellowship supporting researchers addressing social justice and technology challenges.,Tech & social justice framing,info@ssrc.org,Fits TF-IDF/Tableau work; tech & social justice framing. Look to apply for 2027 cycle,2026-06-03,seed
association-for-rese-graduate-diversity-scholars-022,Association for Research on Nonprofit Organizations and Voluntary Action (ARNOVA),Graduate Diversity Scholars,https://web.cvent.com/event/9fe4ba38-a517-4fce-98f1-1cc08aa467ee/websitePage:02c54346-ecd0-42c8-a1f7-a7450ffca843?RefId=Home,Nonprofit Governance,Seminars & Conferences,Yes,,Apr 1,Jun 20,Nov 1,,Scholarship supporting diverse doctoral students attending ARNOVA's nonprofit-research conference.,Diversity-focused; 8 participants,info@arnova.org,Diversity-focused (specific named groups); 8 participants,2026-06-03,seed
association-for-rese-doctoral-fellowship-program-023,Association for Research on Nonprofit Organizations and Voluntary Action (ARNOVA),Doctoral Fellowship Program,https://web.cvent.com/event/9fe4ba38-a517-4fce-98f1-1cc08aa467ee/websitePage:02c54346-ecd0-42c8-a1f7-a7450ffca843?RefId=Home,Nonprofit Governance,Seminars & Conferences,No,,Apr 1,Jun 8,Nov 1,,Pre-conference doctoral seminar for emerging scholars in nonprofit and voluntary-action research.,Narrow eligibility; verify,info@arnova.org,Best topical fit; pre-conference half-day seminar,2026-06-03,seed
berggruen-institute-berggruen-fellowship-024,Berggruen Institute,Berggruen Fellowship,https://www.berggruen.org/work/programs/the-berggruen-fellowships/,AI Policy,Research Fellowships,Yes,,Oct 1,May 31,Sep 1,,Interdisciplinary residential fellowship advancing long-term thinking on governance and the future of democracy.,Stipendiary; long-term focus,fellowships@berggruen.org,Stipendiary. LA/global; Future of Democracy track; long-term governance focus.,2026-06-03,seed
american-educational-aera-nsf-dissertation-grants-025,American Educational Research Association (AERA),AERA�NSF Dissertation Grants,https://www.aera.net/Professional-Opportunities-Funding/AERA-Funding-Opportunities/Grants-Program/Dissertation-Grants,Education,Dissertation Fellowship,Yes,,Mar 1,May 20,Unknown,,NSF-funded grants supporting doctoral dissertations using rigorous quantitative education-research methods.,Quantitative methods required,grantsprogram@aera.net,"Up to ~$27,500; quantitative methods required",2026-06-03,seed
american-evaluation-graduate-education-diversity-i-026,American Evaluation Association (AEA),Graduate Education Diversity Internship (GEDI) Program,https://www.eval.org/Education-Programs/Graduate-Education-Diversity-Internship,Data Analysis,Professional Fellowships,Yes,,Mar 1,May 15,Sep 1,,Diversity-focused internship training graduate students in culturally responsive program evaluation methods.,Diversity-focused; 2 days/week,info@eval.org,Diversity-focused; 2 days/week placement; $15K stipend,2026-06-03,seed
collective-intellige-cip-research-fellowship-027,Collective Intelligence Project (CIP),CIP Research Fellowship,,AI Policy,Research Fellowships,Yes,,Apr 16,May 15,Unknown,,"Remote research fellowship exploring AI, public values, and democratic governance.",Remote; AI/democratic governance,info@cip.org,,2026-06-03,seed
association-for-publ-equity-inclusion-student-fel-028,Association for Public Policy Analysis and Management (APPAM),Equity & Inclusion Student Fellowship,https://www.appam.org/about-appam/awards/eeifellowship/,Public Policy,Seminars & Conferences,Yes,,Mar 1,May 12,Unknown,,Pre-conference seminar supporting diverse graduate students entering public-policy research and practice.,Broad eligibility,info@appam.org,Broad eligibility (substantial obstacles),2026-06-03,seed
google-public-polic-public-policy-fellowship-029,Google (Public Policy Fellowship),Public Policy Fellowship,,AI Policy,Professional Fellowships,Yes,3,Verify,Apr 9,,,Fellowship placing emerging leaders in public policy work on technology and society issues.,Doctoral-eligible; all disciplines; summer DC placement; $12K full-time / $6K part-time,,Summer fellowship placing students at DC tech-policy orgs; AI governance/privacy/internet policy; ties to AI-in-legislative/TF-IDF work. 2026 deadline ~Apr (passed); watch 2027. Source: google.com/policyfellowship,2026-06-03,seed
center-for-ai-safety-ai-and-society-fellowship-030,Center for AI Safety (CAIS),AI and Society Fellowship,,AI Policy,Research Fellowships,Yes,3,,Mar 24,Jun 1,,Three-month in-person fellowship for scholars studying the societal and policy impacts of advanced AI.,Econ/law/IR/poli-phil scholars; in-person SF,fellowships@safe.ai,"PASSED 2026 (deadline Mar 24). $25K, 3-mo IN-PERSON San Francisco (Jun 1-Aug 21). Econ/law/IR/poli-phil scholars. Reapply ~Mar 1.",2026-06-03,seed
russell-sage-foundat-dissertation-research-grants-031,Russell Sage Foundation (RSF),Dissertation Research Grants (DRG),https://www.russellsage.org/,Public Policy,Dissertation Fellowship,Yes,,Feb 1,Feb 1,,,Grant funding doctoral dissertation research on social and economic inequality.,Inequality framing,info@rsage.org,Inequality framing did not match dissertation direction at decision point,2026-06-03,seed
coding-it-forward-coding-it-forward-summer-fello-032,Coding it Forward,Coding it Forward Summer Fellowship,,AI Policy,Research Fellowships,Yes,3,,,Jun 1,,Paid ten-week summer fellowship placing early-career technologists in US government offices.,US citizen/national/PR only,fellowship@codingitforward.com,,2026-06-03,seed
rand-corporation-rand-center-on-ai-security-a-033,RAND Corporation,"RAND Center on AI, Security, and Technology Fellowship",https://www.rand.org/global-and-emerging-risks/centers/ai-security-and-technology/fellows.html,AI Policy,Research Fellowships,Yes,,Apr 1,Rolling,Jan 1,,Fellowship producing policy research on AI security and emerging technology at RAND.,US/UK; security clearance eligible,,Strong DC policy network credential,2026-06-03,seed
techcongress-congressional-innovation-fello-034,TechCongress,Congressional Innovation Fellowship,https://techcongress.io/congressional-innovation-fellowship,AI Policy,Research Fellowships,Yes,,Apr 16,Jun 25,Rolling,,Fellowship placing technologists in Congressional offices to advise on technology policy.,Targets technologists; CS competitive,info@techcongress.io,Targets technologists; CS PhD competitive,2026-06-03,seed
center-for-democracy-cdt-non-resident-fellows-progr-035,Center for Democracy & Technology (CDT),CDT Non-Resident Fellows Program,https://cdt.org/about/fellows/,AI Policy,Dissertation Fellowship,Yes,,Nov 1,Verify,Jun 1,,Non-resident fellowship supporting independent research on digital rights and technology policy.,Post-doc opportunity,info@cdt.org,"Post doc opportunity, pass",2026-06-03,seed
american-association-american-fellowships-disserta-036,American Association of University Women (AAUW),American Fellowships (Dissertation),https://www.aauw.org/resources/programs/fellowships-grants/current-opportunities/american/,Education,Dissertation Fellowship,Yes,,Nov 1,Verify,,,Supports women completing doctoral dissertations across disciplines with a one-year funding award.,Women applicants only,fellowships@aauw.org,Women applicants only; not eligible,2026-06-03,seed
american-educational-minority-dissertation-fellowsh-037,American Educational Research Association (AERA),Minority Dissertation Fellowship in Education Research,https://www.aera.net/Professional-Opportunities-Funding/AERA-Funding-Opportunities/Minority-Dissertation-Fellowship-Program,Education,Dissertation Fellowship,Yes,,Nov 10,Verify,,,Dissertation fellowship supporting underrepresented-minority scholars conducting education research.,Underrepresented minority scholars only,fellowships@aera.net,,2026-06-03,seed
association-for-the-cep-mentor-prot�g�-program-038,Association for the Study of Higher Education (ASHE),CEP Mentor-Prot�g� Program,https://www.ashe.ws/cep,Education,Seminars & Conferences,Yes,,Unknown,Verify,,,Mentorship program pairing scholars of color with senior mentors in higher-education research.,Scholars of color; narrow eligibility,ashe@ashe.ws,,2026-06-03,seed
coefficient-giving-technology-policy-fellowship-039,Coefficient Giving (Open Philanthropy),Technology Policy Fellowship,https://coefficientgiving.org/open-philanthropy-technology-policy-fellowship/,AI Policy,Dissertation Fellowship,No,,Verify,Verify,,No Longer Operating,Former technology-policy fellowship; program no longer operating.,Program no longer operating,,No longer operating,2026-06-03,seed
secure-program-synth-secure-program-synthesis-fello-040,Secure Program Synthesis Fellowship,Secure Program Synthesis Fellowship,https://tally.so/r/44PVxB,AI Policy,Dissertation Fellowship,No,,May 31,Verify,,,Technical fellowship focused on formal methods and secure program synthesis research.,Highly technical (formal methods/PL),,Highly technical (formal methods/PL); fit caveat,2026-06-03,seed
stanford-institute-f-hai-policy-fellowship-041,Stanford Institute for Human-Centered AI (HAI),HAI Policy Fellowship,https://hai.stanford.edu/policy/student-opportunities/tech-ethics-policy-fellowships,AI Policy,Research Fellowships,No,,Unknown,Verify,,Verify Eligibility,Policy fellowship open only to Stanford students working on human-centered AI.,Stanford students only,HAI-Fellowships@stanford.edu,Only for stanford students,2026-06-03,seed
open-technology-fund-information-controls-fellowshi-042,Open Technology Fund (OTF),Information Controls Fellowship,,AI Policy,Research Fellowships,Yes,12,Verify,Verify,,,Fellowship supporting research and development addressing internet censorship and information controls.,Researchers on internet freedom / information controls; hosted at academic or civil-society orgs,,"Supports research on censorship, surveillance, governance of digital/AI systems; verify program is currently funded/operating and open-application. Source: opentech.fund",2026-06-03,seed
association-for-the-graduate-student-policy-semina-043,Association for the Study of Higher Education (ASHE),Graduate Student Policy Seminar,https://www.ashe.ws/cpphe,Education,Seminars & Conferences,Yes,,Unknown,Unknown,,,Seminar introducing graduate students to higher-education policy research and engagement.,Higher-ed policy focus,ashe@ashe.ws,Higher-ed policy focus did not align with AI/legislative priority direction,2026-06-03,seed
brookings-institutio-nonresident-fellow-appointment-044,Brookings Institution,Nonresident Fellow Appointments,https://www.brookings.edu/center/center-for-technology-innovation/,AI Policy,Research Fellowships,No,,Unknown,Unknown,,Ineligible,Unpaid nonresident appointment for established researchers affiliating with Brookings' technology program.,Non-doctoral interns only,,"Only internships, and only for non doctoral students",2026-06-03,seed
ford-foundation-predoctoral-dissertation-p-045,Ford Foundation,Predoctoral / Dissertation / Postdoctoral Fellowships,https://www.fordfoundation.org/work/learning/fellowships/,Education,Dissertation Fellowship,No,,Unknown,Unknown,,No Longer Operating,Former predoctoral and dissertation diversity fellowship program; cancelled.,Program cancelled,infoford@nas.edu,Program cancelled,2026-06-03,seed
kettering-foundation-research-fellows-program-046,Kettering Foundation,Research Fellows Program,https://kettering.org/,Nonprofit Governance,Research Fellowships,Yes,,Unknown,Unknown,,Invitation Only,Nomination-only fellowship convening senior scholars on democracy and public-policy research.,Nomination/invitation only,info@kettering.org,Senior scholars by nomination only; not open application,2026-06-03,seed
vanderbilt-policy-ac-vpa-senior-fellows-affiliate-047,Vanderbilt Policy Accelerator (VPA),VPA Senior Fellows / Affiliated Scholarship,https://law.vanderbilt.edu/academics/academic-programs/policy-accelerator/,AI Policy,Research Fellowships,Yes,,Unknown,Unknown,,Invitation Only,Invitation-only affiliation for senior scholars at Vanderbilt's policy accelerator.,Invitation/relationship only,,Not an open application; relationship-only,2026-06-03,seed
vanderbilt-universit-initiative-on-the-future-of-le-048,Vanderbilt University,Initiative on the Future of Learning & Generative AI,https://www.vanderbilt.edu/generative-ai/future-learning-initiative/,AI Policy,Research Fellowships,Verify,,,Unknown,,Invitation Only,Internal Vanderbilt initiative on generative AI and the future of learning; not an open fellowship.,Internal Vanderbilt program; not a fellowship,,Not a fellowship; internal Vanderbilt program,2026-06-03,seed
vanderbilt-universit-grand-challenge-initiative-ar-049,Vanderbilt University,Grand Challenge Initiative: Artificial Intelligence,https://as.vanderbilt.edu/gci-ai/,AI Policy,Research Fellowships,No,,,Unknown,,Invitation Only,Internal Vanderbilt grand-challenge initiative on artificial intelligence; not an open fellowship.,Internal Vanderbilt program; not a fellowship,,Not a fellowship; internal Vanderbilt program,2026-06-03,seed
data-society-resea-data-society-fellowship-prog-050,Data & Society Research Institute,Data & Society Fellowship Program,,AI Policy,Research Fellowships,Verify,,Unknown,Unknown,None open,No Longer Operating,Historically a remote/partial-residence fellowship for researchers and practitioners studying the social implications of data-centric and AI technologies.,"Strong topical fit, but no open cycle; scam-name warning on site",,"CAUTION � NOT currently running: ""There are no current openings at Data & Society."" Site also warns scammers are misusing its name for a fake ""AI Policy Research Fellowship"" � verify any solicitation. Subscribe to their newsletter for a future cycle. https://datasociety.net/jobs-fellowships/",2026-06-03,seed
metagov-public-ai-fellow-canada-051,Metagov,Public AI Fellow (Canada),https://metagov.org/join/jobs/public-ai-fellow-canada,AI Policy,Research Fellowships,Yes,,Dec 1,Rolling,Unknown,Ineligible,"Fellowship supporting work on public AI infrastructure and governance, focused on Canada.",Canada-focused; verify eligibility,josh@publicai.network,Canada-focused; verify non-Canadian eligibility,2026-06-03,seed
truman-national-secu-truman-fellowship-052,Truman National Security Project,Truman Fellowship,https://trumanproject.org/our-people/security-fellowship/,AI Policy,Research Fellowships,No,,,Rolling,Sep 1,No Longer Operating,Unstipended network fellowship developing leaders in national security and technology policy.,Unstipended; practitioner-oriented,fellowship@trumanproject.org,"Unstipended. National security & tech policy network; growing AI governance focus; less academic, more practitioner.",2026-06-03,seed
united-nations-unive-visiting-fellow-programme-053,United Nations University Institute on Comparative Regional Integration Studies (UNU-CRIS),Visiting Fellow Programme,https://cris.unu.edu/visiting-scholars-cris,AI Policy,Research Fellowships,No,,Nov 1,Rolling,Jun 1,,Visiting fellowship supporting research on global governance and AI regulation in Europe.,Unstipended; international doctoral,cris@cris.unu.edu,Unstipended (verify). Brussels-based; global governance; AI Act implementation work; international doctoral eligible.,2026-06-03,seed
aaas-via-vanderbilt-case-workshop-054,AAAS (via Vanderbilt sponsorship),CASE Workshop,,Public Policy,Seminars & Conferences,Yes,1,Feb 13,Annual (April),,,Workshop introducing scientists and engineers to careers in science and technology policy.,Full-time doctoral student; nominated by home university; STEM/SBE; 3.5-day DC workshop,govrelations@aaas.org,"Congress, budget/appropriations, science advocacy + Hill visits; apply via Vanderbilt internal selection (Grad School); 2026 workshop Apr 12-15, internal apps ~mid-Feb. Source: aaas.org CASE. Too introductory. Focused on traditional sciences",2026-06-03,seed
iu-lilly-family-scho-lilly-family-school-research-f-055,IU Lilly Family School of Philanthropy,Lilly Family School Research Fund,,Nonprofit Governance,Dissertation Fellowship,Yes,,Verify,Annual,,Ineligible,"Funding supporting doctoral dissertation research on philanthropy, nonprofits, and the social sector.",Doctoral thesis/dissertation research in philanthropy/nonprofit; up to $2K/yr,,Matches nonprofit-governance + org-theory lane; IU students only.,2026-06-03,seed
stanford-knight-henn-knight-hennessy-scholars-056,Stanford Knight-Hennessy Scholars,Knight-Hennessy Scholars,https://knight-hennessy.stanford.edu/,AI Policy,Scholarships,Yes,24,Rolling,Oct 6,Rolling,Ineligible,Fully funded graduate scholarship supporting leadership development across Stanford's schools.,Stanford graduate students only,khs-info@stanford.edu,Stanford graduate students only; verify whether visiting or transfer status enables eligibility. Fully funded for up to three years.,2026-06-03,seed
national-academy-of-naed-spencer-dissertation-fe-057,National Academy of Education (NAEd),NAEd / Spencer Dissertation Fellowship,https://naeducation.org/naed-spencer-dissertation-fellowship/,Education,Dissertation Fellowship,Yes,,Oct 1,Oct 1,,,Dissertation-completion fellowship supporting late-stage education-research doctoral candidates.,Dissertation write-up stage,fellowships@naeducation.org,Dissertation write-up stage; target post-proposal cycle 2027-28,2026-06-03,seed
mila-quebec-ai-ins-mila-ai-policy-fellowship-058,Mila � Quebec AI Institute,Mila AI Policy Fellowship,,AI Policy,Research Fellowships,Yes,,,Apr 16,Sep 1,,Fellowship supporting policy research on artificial intelligence at a leading AI institute.,AI policy focus,info@mila.quebec,,2026-06-03,seed
inter-university-con-clifford-c-clogg-scholarship-059,Inter-university Consortium for Political and Social Research (ICPSR),Clifford C. Clogg Scholarship,,Data Analysis,Scholarships,Yes,1,Verify,Verify,Unknown,,Scholarship funding returning ICPSR Summer Program attendees to take advanced quantitative methods training.,Must have attended a prior ICPSR General Session,sumprogram@icpsr.umich.edu,"Open to students, faculty, and researchers from all disciplines who have previously attended a General Session of the ICPSR Summer Program.",2026-06-03,seed
inter-university-con-icpsr-summer-program-scholarsh-060,Inter-university Consortium for Political and Social Research (ICPSR),ICPSR Summer Program Scholarships,,Data Analysis,Scholarships,Yes,1,Verify,Verify,Unknown,,Scholarship supporting social-science graduate students attending ICPSR's empirical research-methods program.,Social science / related disciplines; empirical research interest,sumprogram@icpsr.umich.edu,"Open to students from all social science and related disciplines (political science, public policy, psychology, anthropology, economics, geography, education, public health, social work, data science) interested in empirical research.",2026-06-03,seed
inter-university-con-icpsr-opportunity-scholarship-061,Inter-university Consortium for Political and Social Research (ICPSR),ICPSR Opportunity Scholarship,,Data Analysis,Scholarships,Yes,1,Verify,Verify,Unknown,,Scholarship expanding access to ICPSR methods training for students facing exceptional barriers to attendance.,US graduate students; demonstrated access barriers,sumprogram@icpsr.umich.edu,Expands access to ICPSR Summer Program research-methods training for those for whom attendance would otherwise present exceptional difficulty. Open to incoming and currently enrolled graduate students at any US institution.,2026-06-03,seed
inter-university-con-sara-miller-mccune-scholarship-062,Inter-university Consortium for Political and Social Research (ICPSR),Sara Miller McCune Scholarship,,Data Analysis,Scholarships,Yes,1,Verify,Verify,Unknown,,Scholarship supporting emerging scholars developing innovative empirical or methodological social-science research.,US graduate students; innovative empirical/methodological work,sumprogram@icpsr.umich.edu,Supports emerging scholars engaged in developing innovative empirical or methodological research in the social sciences. Open to incoming and currently enrolled graduate students at any US institution.,2026-06-03,seed
ewing-marion-kauffma-kauffman-project-grant-063,Ewing Marion Kauffman Foundation,Kauffman Project Grant,,Public Policy,Research Fellowships,Yes,Verify,Verify,Verify,Unknown,,Project grants funding applied initiatives that advance entrepreneurship and economic opportunity.,Project-based; entrepreneurship focus,info@kauffman.org,Project Section grant. Application window Fall 2026. https://www.kauffman.org/funding/grants/project/,2026-06-03,seed
anthropic-anthropic-institute-fellows-064,Anthropic,Anthropic Institute Fellows,https://job-boards.greenhouse.io/anthropic/jobs/5023394008,AI Policy,Research Fellowships,Yes,4,Rolling,Rolling,May 1,,"Four-month full-time empirical AI research fellowship; Economics workstream applies economics/social-science methods to AI's societal impact, with Anthropic researcher mentorship.",Technical: Python fluency required; CS/math/physics background,fellows@anthropic.com,"Technical fit caveat; $3,850/wk + $15K/mo compute; US/UK/CA only",2026-06-03,seed
